"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","BEG","popolazione inizio periodo","1","maschi","2019","2019",29131195,"b","break nella serie"
"IT","Italia","BEG","popolazione inizio periodo","1","maschi","2019-01","Gen-2019",29131195,"b","break nella serie"
